pokemon,usage,raw_usage,real_usage,total_battles
Gothitelle,0.0003705,1167.0,0.0008346308135397572,1398223.0
Mudsdale,0.0021302,6517.0,0.0046609160341376165,1398223.0
Tauros,0.0026244,8040.0,0.005750155733384446,1398223.0
Raikou,0.0036124,11032.0,0.007890014682922539,1398223.0
Porygon2,0.010956,33191.0,0.023737987431189444,1398223.0
Mamoswine,0.0261736,77853.0,0.05567995949144021,1398223.0
Chansey,0.0282902,85916.0,0.06144656467530573,1398223.0
Morpeko,0.0024492,7511.0,0.005371818372319723,1398223.0
Slowbro-Galar,0.0061703,18761.0,0.013417745238062884,1398223.0
Politoed,0.0054923,16727.0,0.01196304166073652,1398223.0
Buzzwole,0.0202271,60535.0,0.043294238472689976,1398223.0
Relicanth,0.0003762,1195.0,0.000854656231516718,1398223.0
Decidueye,0.0031011,9545.0,0.006826521949646087,1398223.0
Raboot,0.0016471,4891.0,0.003498011404475538,1398223.0
Cramorant,0.0012058,3728.0,0.0026662413649324894,1398223.0
Amoonguss,0.0138819,42163.0,0.030154703505807012,1398223.0
Jolteon,0.0081096,25097.0,0.017949211248849434,1398223.0
Flapple,0.00081,2508.0,0.001793705295936342,1398223.0
Golduck,0.0009247,2953.0,0.0021119664030701825,1398223.0
Rotom-Wash,0.028562,86033.0,0.06153024231470946,1398223.0
Umbreon,0.0159542,48289.0,0.034535978881766356,1398223.0
Heracross,0.0043806,13389.0,0.009575725760483128,1398223.0
Toxicroak,0.0043759,13407.0,0.009588599243468316,1398223.0
Grapploct,0.0010967,3443.0,0.002462411217666996,1398223.0
Dragonite,0.0843646,252654.0,0.18069649834110868,1398223.0
Gastrodon,0.0126471,37992.0,0.02717163142073904,1398223.0
Vaporeon,0.0059179,18018.0,0.012886356468174247,1398223.0
Virizion,0.0013657,4141.0,0.0029616162800926607,1398223.0
Froslass,0.002854,8695.0,0.006218607475345492,1398223.0
Klinklang,0.0007449,2351.0,0.0016814199165655264,1398223.0
Dragapult,0.2082182,623819.0,0.4461512934632029,1398223.0
Terrakion,0.0113355,33970.0,0.02429512316704846,1398223.0
Dubwool,0.0020015,6133.0,0.004386281730453583,1398223.0
Conkeldurr,0.0200826,60432.0,0.04322057354227473,1398223.0
Weavile,0.0487708,146211.0,0.10456915670819318,1398223.0
Audino,0.001096,3361.0,0.002403765350734468,1398223.0
Drapion,0.0046219,14057.0,0.010053475017933477,1398223.0
Silvally-Ground,0.0002854,858.0,0.0006136360222940118,1398223.0
Excadrill,0.0797895,240612.0,0.1720841382240172,1398223.0
Maractus,0.0005679,1782.0,0.0012744748155337168,1398223.0
Solosis,0.0001505,457.0,0.0003268434291239666,1398223.0
Gurdurr,0.0001867,580.0,0.0004148122295227585,1398223.0
Arctovish,0.0058528,17450.0,0.012480126560641614,1398223.0
Sawk,0.0007005,2216.0,0.0015848687941766085,1398223.0
Zeraora,0.0897307,268602.0,0.19210240426598618,1398223.0
Silvally-Dark,0.0001073,340.0,0.00024316578972023777,1398223.0
Thundurus,0.0032566,9843.0,0.007039649612400883,1398223.0
Corviknight,0.1523927,455609.0,0.32584859496661117,1398223.0
Sableye,0.004132,12764.0,0.009128729823497396,1398223.0
Dugtrio,0.0010352,3220.0,0.002302923067350487,1398223.0
Golurk,0.0028629,8880.0,0.006350918272693269,1398223.0
Keldeo,0.0117864,35188.0,0.025166228849046252,1398223.0
Scizor,0.0385554,115873.0,0.0828716163301562,1398223.0
Manectric,0.0014955,4521.0,0.003233389809779985,1398223.0
Nidoking,0.066498,200265.0,0.14322822611271593,1398223.0
Zapdos,0.0936489,278093.0,0.1988903057666767,1398223.0
Ninjask,0.0019675,6412.0,0.0045858207167240135,1398223.0
Charmander,0.000152,561.0,0.0004012235530383923,1398223.0
Moltres,0.0221202,65830.0,0.04708118805083309,1398223.0
Flareon,0.002054,6380.0,0.004562934524750344,1398223.0
Tornadus-Therian,0.0552855,164066.0,0.11733893663600155,1398223.0
Delibird,0.0003,1006.0,0.0007194846601722329,1398223.0
Charizard,0.0132171,41380.0,0.02959470699595129,1398223.0
Salazzle,0.0096222,30115.0,0.02153805222772047,1398223.0
Magmortar,0.001612,5037.0,0.003602429655355405,1398223.0
Abomasnow,0.0015638,4922.0,0.0035201824029500303,1398223.0
Luxray,0.0017401,5391.0,0.003855608154064123,1398223.0
Jellicent,0.0028407,8675.0,0.0062043036053619485,1398223.0
Mienshao,0.004937,15037.0,0.010754364647127104,1398223.0
Ninetales-Alola,0.0305738,91268.0,0.06527428028290194,1398223.0
Flygon,0.0041578,12611.0,0.009019305218123289,1398223.0
Escavalier,0.0017315,5309.0,0.003796962287131595,1398223.0
Sandaconda,0.0044331,13437.0,0.009610055048443632,1398223.0
Bouffalant,0.0013245,4194.0,0.0029995215355490506,1398223.0
